t'	a(t')	Trad(t')	Tb(t')	z(t')	i
7.54510e-007	3.18202e-004	8.56531e+003	7.91995e+003	3.14166e+003	315
7.56940e-007	3.18279e-004	8.56325e+003	7.91615e+003	3.14090e+003	316
7.59370e-007	3.18356e-004	8.56118e+003	7.91234e+003	3.14014e+003	317
7.61800e-007	3.18433e-004	8.55911e+003	7.90854e+003	3.13938e+003	318
7.64230e-007	3.18509e-004	8.55705e+003	7.90474e+003	3.13862e+003	319
7.66660e-007	3.18586e-004	8.55498e+003	7.90094e+003	3.13787e+003	320
7.69090e-007	3.18663e-004	8.55292e+003	7.89715e+003	3.13711e+003	321
7.71520e-007	3.18740e-004	8.55086e+003	7.89336e+003	3.13635e+003	322
7.73950e-007	3.18817e-004	8.54880e+003	7.88957e+003	3.13560e+003	323
7.76380e-007	3.18893e-004	8.54674e+003	7.88579e+003	3.13484e+003	324
7.78810e-007	3.18970e-004	8.54469e+003	7.88201e+003	3.13409e+003	325
7.81240e-007	3.19047e-004	8.54263e+003	7.87823e+003	3.13333e+003	326
7.83670e-007	3.19124e-004	8.54057e+003	7.87445e+003	3.13258e+003	327
7.86100e-007	3.19200e-004	8.53852e+003	7.87068e+003	3.13183e+003	328
